Date, Close/Last, Volume, Open, High, Low
10/08/2019, $91.75, 7299682, $90.45, $92.71, $90.41
10/07/2019, $93.17, 4987534, $92.5, $93.92, $92.4
10/04/2019, $93.07, 4580028, $92.22, $93.17, $91.93
10/03/2019, $92.22, 5934889, $91.31, $92.32, $90.35
10/02/2019, $91.49, 6974361, $91.47, $91.84, $90.57
10/01/2019, $92.28, 8504893, $94.13, $94.75, $92.06
09/30/2019, $93.92, 7659423, $92.53, $94.08, $92.5
09/27/2019, $92.31, 6424104, $91.85, $92.86, $91.6
09/26/2019, $92.17, 10539860, $91.62, $92.45, $90.25
09/25/2019, $90.81, 25406830, $91.78, $92.79, $90.15
09/24/2019, $87.18, 11247830, $88.45, $88.69, $86.76
09/23/2019, $87.69, 4871541, $86.98, $88.02, $86.795
09/20/2019, $86.68, 7032347, $88, $88.485, $86.67
09/19/2019, $87.7, 4235531, $88.4, $88.72, $87.505
09/18/2019, $88.08, 4745365, $87.65, $88.4, $87.21
09/17/2019, $87.59, 3269921, $86.77, $87.64, $86.47
09/16/2019, $87.27, 4171743, $87.09, $87.82, $86.67
09/13/2019, $87.32, 5894673, $88.25, $88.79, $87.3
09/12/2019, $87.67, 4057450, $87.1, $88.07, $86.22
09/11/2019, $86.75, 4623276, $86.96, $87.245, $85.8725
09/10/2019, $86.83, 7072680, $88.26, $88.63, $86.29
09/09/2019, $88.67, 4282442, $88.94, $89.35, $88.42
09/06/2019, $88.69, 3625337, $88.4, $88.98, $88.02
09/05/2019, $88.42, 6328520, $87.28, $88.6152, $87.28
09/04/2019, $86.35, 4166481, $85.58, $86.5, $85.5
09/03/2019, $84.67, 6360877, $84, $84.83, $83.62
08/30/2019, $84.5, 5235369, $85.7, $85.99, $84.4083
08/29/2019, $85.38, 5102066, $84.22, $85.77, $84.17
08/28/2019, $83.48, 4129761, $81.9, $83.59, $81.72
08/27/2019, $82.03, 3842507, $82.63, $83.18, $82
08/26/2019, $82.25, 4336049, $81.44, $82.28, $80.7442
08/23/2019, $80.44, 8499257, $82.02, $82.76, $80.03
08/22/2019, $83.31, 5571618, $83, $83.72, $82.5
08/21/2019, $82.74, 6454171, $81.94, $82.84, $81.63
